ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Lineage_0,Lineage_1,Lineage_2,Lineage_3,Lineage_4,Lineage_5,Isolate,WALS_Area,Autotyp,Country,Ancient,Papuan,Altitude,Eastness,Ethnologue_Ethnic_Population,Adjusted_Population,Social_Region
784,Shona,Africa,-18.0,31.0,shon1251,sna,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,S,false,Africa,Southern Africa,ZW,false,false,1388.0,51.0,10759200,10759200,Africa_SubSaharan
785,Sotho_South,Africa,-30.0,28.0,sout2807,sot,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,S,false,Africa,Southern Africa,ZA,false,false,1244.0,48.0,4101000,4101000,Africa_SubSaharan
786,Swahili,Africa,-6.5,39.0,swah1253,swh,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,G,false,Africa,Southern Africa,TZ,false,false,22.0,59.0,787630,787630,Africa_SubSaharan
787,SiSwati,Africa,-27.0,32.0,swat1243,ssw,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,S,false,Africa,Southern Africa,SZ,false,false,690.0,52.0,2034200,2034200,Africa_SubSaharan
788,Tikar,Africa,6.0,11.5,tika1246,tik,Niger-Kongo,Bantoid,Southern,Tikar,,,false,Africa,West Africa,CM,false,false,800.0,31.5,25000,25000,Africa_SubSaharan
789,Tiv,Africa,7.5,9.0,tivv1240,tiv,Niger-Kongo,Bantoid,Southern,Tivoid,,,false,Africa,West Africa,NG,false,false,168.0,29.0,2210000,2210000,Africa_SubSaharan
790,Tonga,Africa,-17.0,27.0,tong1318,toi,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,M,false,Africa,Southern Africa,ZM,false,false,1218.0,47.0,1127000,1127000,Africa_SubSaharan
791,Tunen,Africa,4.8,10.5,tune1241,baz,Niger-Kongo,Bantoid,Southern,Mbam,,,false,Africa,West Africa,CM,false,false,678.0,30.5,35300,35300,Africa_SubSaharan
792,Venda,Africa,-22.0,30.0,vend1245,ven,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,S,false,Africa,Southern Africa,ZA,false,false,577.0,50.0,1064000,1064000,Africa_SubSaharan
793,Xhosa,Africa,-33.0,28.0,xhos1239,xho,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,S,false,Africa,Southern Africa,ZA,false,false,0.0,48.0,7817300,7817300,Africa_SubSaharan
